city,year,n_ingested,n_sources_rows,has_5km_splits,corpus,timing_vendor,listed_hint_from_notes,missing_20km,incomplete,non_increasing,missing_age,sex_missing,notes
Rotterdam,2022,11722,1,yes,,sporthive,,21,105,0,11722,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=6914931831426482176 race=6914931835721449984. last_ingested blank until listed=jsonl=GET."
Rotterdam,2023,16845,1,yes,,sporthive,,46,299,0,16845,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=7049372004225601280 race=7049372004225602304. last_ingested blank until listed=jsonl=GET."
Rotterdam,2024,17085,1,yes,,sporthive,,18,74,0,17085,0,"Scout-locked Speedhive. NN Marathon / Marathon Eindhoven only, not NK. event=7183110323454187008 race=7183110327749155328. last_ingested blank until listed=jsonl=GET."
Singapore,2025,8933,1,yes,post-2019-additive,UltimateLIVE / Ultimate Sport Service,,5,50,1,8933,0,"Singapore Marathon 2025 UltimateLIVE eventid=7320 distance=4 Marathon. Ignored distance 1=5km, 2=10km, 3=Half, 5=Ekiden. race_date null: no calendar date printed on event/athlete/certificate; last ping 04-02-2026 is upload ping."
Stockholm,2011,9931,2,yes-per-paper | yes,smyth-2021-original,marathongruppen | mikatiming,,1,7,1,9931,0,event=STHM id_key=idp
Stockholm,2021,6955,1,yes,mass,mikatiming,,2,2,0,6955,0,STHM 2021 mass curl_cffi chrome124; listed_M=5068 listed_W=1887
Stockholm,2024,17041,1,yes,mass,mikatiming,,9,79,1,17041,0,STHM 2024 mass curl_cffi chrome124; listed_M=12457 listed_W=4584
Sydney,2017,4061,1,yes-per-paper,smyth-2021-original,,,522,599,1,4061,0,
Sydney,2018,4371,1,yes-per-paper,smyth-2021-original,,,580,759,0,4371,0,
Sydney,2019,5217,1,yes,post-2019-additive,timingsports,,790,882,1,5217,0,Scout-locked 2026-09-10: M05K + /view literal 5KM. Proof bib 03000 5KM 00:26:49.
Tokyo,2026,353,1,yes,majors-current,seiko,,0,0,0,0,0,Seiko is official timer (19 consecutive years as of 2026). Race date 2026-03-01. | splits: pdf (top 500); html-detail exists (detail.php) but landing/search is finish-oriented | last_ingested sources: https://www.marathon.tokyo/media/press-release/pdf/1_Tokyo%20Marathon%202026%20MEN%20TOP500%20Results.pdf | https://www.marathon.tokyo/media/press-release/pdf/2_Tokyo%20Marathon%202026%20WOMEN%20TOP5
Valencia,2014,11348,1,yes-per-paper,smyth-2021-original,,,11348,11348,16,11348,4,
Valencia,2015,14102,1,yes-per-paper,smyth-2021-original,,,14102,14102,28,14102,0,
Valencia,2016,15858,1,yes-per-paper,smyth-2021-original,,,15858,15858,4,15858,4,
Valencia,2017,12485,1,yes-per-paper,smyth-2021-original,,15858,12485,12485,89,12485,0,Lead override 2026-09-10 POST goods listed=15858 jsonl=12485 GET=12485 missing_ficha=3373 (HTTP 500 ficha). FLAG no 20km. HOLD equal-key; Lead stamped anyway. Bosca Mayans bib 16170 spot OK.
Valencia,2018,19236,1,yes-per-paper,smyth-2021-original,,,19236,19236,12,19236,5,
Valencia,2019,21234,2,yes,smyth-2021-original,valenciaciudaddelrunning,21234,21234,21234,2,21234,0,Scout-locked year-isolated buscar; POST en/2019/maraton-buscar.php?y=2019; ficha POST hid+hyear=2019; FLAG no 20km; expected listed=21234; never maraton.php?y= trap | Scout-locked year-isolated buscar; POST en/2019/maraton-buscar.php?y=2019; ficha POST hid+hyear=2019; FLAG no 20km; expected listed=21234; never maraton.php?y= trap. Results starting VAL2019.
Valencia,2021,12674,1,yes,not-htw,valenciaciudaddelrunning,,64,260,0,12674,0,Scout-locked year-in-path; POST ficha; never maraton.php?y=
Valencia,2022,21628,1,yes,not-htw,valenciaciudaddelrunning,,43,312,2,21628,4178,Scout-locked year-in-path; POST ficha; never maraton.php?y=
Valencia,2023,25910,1,yes,not-htw,valenciaciudaddelrunning,,57,1324,1,25910,5347,Scout-locked year-in-path; POST ficha; never maraton.php?y=
Valencia,2024,28193,1,yes,not-htw,valenciaciudaddelrunning,,36,668,1,28193,6192,Scout-locked year-in-path; POST ficha; never maraton.php?y=
Vienna,2022,2574,1,yes,post-2019-additive,mikatiming,,3,28,0,314,0,ingested from vienna_2022.jsonl; jsonl=2574 GET=2574; last_ingested left null (no listed count)
Warsaw,2015,7361,2,yes-per-paper | true,smyth-2021-original,domtel-sport,,163,478,0,7361,0,
Warsaw,2016,6591,2,yes-per-paper | true,smyth-2021-original,domtel-sport,,11,79,0,6591,0,
Warsaw,2017,5522,2,yes-per-paper | true,smyth-2021-original,domtel-sport,,11,54,1,5522,0,
Warsaw,2018,4445,2,yes-per-paper | yes,smyth-2021-original,domtel-sport,,5,154,0,4445,0,2018 only. Checkpoint tabs 5/10/15/20/25/30/35/40/meta. Did not open OWM2015-17.
Washington,2008,18236,2,yes-per-paper | yes,smyth-2021-original,Xacte,,61,837,8,0,0,Xacte mid=119 eventId=203 subeventId=387 33th Marine Corps Marathon
Washington,2009,21401,2,yes-per-paper | yes,smyth-2021-original,Xacte,,524,1783,16,0,0,Xacte mid=119 eventId=202 subeventId=386 34th Marine Corps Marathon
Washington,2010,21945,2,yes-per-paper | yes,smyth-2021-original,Xacte,,154,1108,10,0,0,Xacte mid=119 eventId=201 subeventId=385 35th Marine Corps Marathon
Washington,2011,21024,2,yes-per-paper | yes,smyth-2021-original,Xacte,,249,1310,0,0,0,Xacte mid=119 eventId=198 subeventId=374 36th Marine Corps Marathon
Washington,2012,23515,2,yes-per-paper | yes,smyth-2021-original,Xacte,,185,1734,1,0,0,Xacte mid=119 eventId=197 subeventId=373 37th Marine Corps Marathon
Washington,2013,23384,2,yes-per-paper | yes,smyth-2021-original,Xacte,,88,3619,23,0,0,Xacte mid=119 eventId=134 subeventId=323 38th Marine Corps Marathon
Washington,2014,19688,2,yes-per-paper | yes,smyth-2021-original,Xacte,,70,661,23,0,0,Xacte mid=119 eventId=663 subeventId=1790 39th Marine Corps Marathon
Washington,2015,23182,2,yes-per-paper | yes,smyth-2021-original,Xacte,,64,1309,51,1,0,Xacte mid=119 eventId=1104 subeventId=2624 40th Marine Corps Marathon
Washington,2016,19678,2,yes-per-paper | yes,smyth-2021-original,Xacte,,38,795,1,0,0,Xacte mid=119 eventId=1332 subeventId=3125 41st Marine Corps Marathon
Washington,2017,20038,2,yes-per-paper | yes,smyth-2021-original,Xacte,,107,3620,272,0,0,Xacte mid=119 eventId=1896 subeventId=4592 42nd Marine Corps Marathon
Washington,2018,20611,2,yes-per-paper | yes,smyth-2021-original,Xacte,,105,1611,3,0,0,Xacte mid=119 eventId=2162 subeventId=5302 43rd Marine Corps Marathon
Washington,2023,13819,1,yes,smyth-2021-original,Xacte,,13819,13819,2,0,0,Xacte mid=119 eventId=2529 subeventId=6300 48th Marine Corps Marathon
